Date,Close,High,Low,Open,Volume,FutureClose,Return,Label
2015-02-17,28.424097061157227,28.657574243588314,28.221749943522113,28.348494263466083,252609600,28.62198829650879,0.006962093991087215,positive
2015-02-18,28.62198829650879,28.635329264529332,28.339592032694533,28.379616633216994,179566800,28.561954498291016,-0.002097471272640278,neutral
2015-02-19,28.561954498291016,28.690922861865086,28.535272558559186,28.568624983223973,149449600,28.795434951782227,0.008174526484354601,positive
2015-02-20,28.795434951782227,28.795434951782227,28.473015702335196,28.59975832351753,195793600,29.57369041442871,0.027027043138944357,positive
2015-02-23,29.57369041442871,29.57369041442871,28.831013589751244,28.911062812304195,283896400,29.38912582397461,-0.006240837307340389,negative
2015-02-24,29.38912582397461,29.707100278847857,29.16676729911174,29.560342838137128,276912400,28.637554168701172,-0.025573120472345997,negative
2015-02-25,28.637554168701172,29.262384500773326,28.495244842321494,29.253488259355986,298846800,28.9999942779541,0.012656112568756,positive
2015-02-26,28.9999942779541,29.100054921316598,28.15280896167224,28.63754884827877,365150000,28.564184188842773,-0.015027937072478407,negative
2015-02-27,28.564184188842773,29.03336092029741,28.515265030649584,28.906614903272516,248059200,28.70426368713379,0.0049040258725726515,positive
2015-03-02,28.70426368713379,28.968870897881935,28.528601929913908,28.739841868545096,192386800,28.764299392700195,0.002091525712722471,neutral
2015-03-03,28.764299392700195,28.799877571574093,28.4819031113867,28.675357338437337,151265200,28.58197021484375,-0.0063387317510231736,negative
2015-03-04,28.58197021484375,28.80877691514904,28.533054449015793,28.706493868977883,126665200,28.108346939086914,-0.01657070076683743,negative
2015-03-05,28.108346939086914,28.628665165462678,27.96381353293991,28.59086461666674,226068400,28.150592803955078,0.0015029651142315237,neutral
2015-03-06,28.150592803955078,28.76652525661798,28.074991709340917,28.550837186219347,291368400,28.270666122436523,0.00426539218259643,positive
2015-03-09,28.270666122436523,28.810999167291815,27.8081599278314,28.45300006693993,354114000,27.68585968017578,-0.020685980292364625,negative
2015-03-10,27.68585968017578,28.288451063187917,27.52798533523556,28.108341205636272,275426400,27.18110466003418,-0.018231509729966126,negative
2015-03-11,27.18110466003418,27.74367143696153,27.152198663532047,27.73922501306153,275756000,27.67251968383789,0.01807928816543886,positive
2015-03-12,27.67251968383789,27.772582044929376,27.045468667549837,27.196672542932966,193450800,27.481292724609375,-0.006910355884224072,negative
2015-03-13,27.481292724609375,27.883762858746906,27.2567118077468,27.661404305960183,207309200,27.783693313598633,0.011003870597341276,positive
2015-03-16,27.783693313598633,27.783693313598633,27.321188932610713,27.54576979144797,143497200,28.248428344726562,0.016726898972083987,positive
2015-03-17,28.248428344726562,28.310688462772674,27.93935011838267,27.99493975184684,204092400,28.5664005279541,0.011256278733358218,positive
2015-03-18,28.5664005279541,28.71982845602437,28.09944795575962,28.23953321847968,261083600,28.35071563720703,-0.007550299889410584,negative
2015-03-19,28.35071563720703,28.739843106737325,28.328480121097527,28.62866382972867,183238000,27.994937896728516,-0.012549162604262396,negative
2015-03-20,27.994937896728516,28.55083249807218,27.830393067587416,28.517480077372603,274780400,28.28623390197754,0.010405309928659075,positive
2015-03-23,28.28623390197754,28.428543253152814,28.1328059435543,28.266222444684743,150838800,28.17060089111328,-0.004087960640676655,negative
2015-03-24,28.17060089111328,28.4707828514936,28.14169319834328,28.290674693141913,131369200,27.434595108032227,-0.02612673353777255,negative
2015-03-25,27.434595108032227,28.199509002111668,27.434595108032227,28.13724888449329,206620800,27.625822067260742,0.006970285454387068,positive
2015-03-26,27.625822067260742,27.768131384433865,27.261154229947007,27.296732407470724,190291600,27.405691146850586,-0.007968302983860616,negative
